id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q2 Cleaned,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q4 Cleaned,Q5: What movie do you think of when thinking of this food item?,Q5 Cleaned,Q6: What drink would you pair with this food item?,Q6 Cleaned,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
601094,3,"12 (chicken/beef, flatbread, onion, pepper, pickle, sauce, spices for marinade)",12,"Week day lunch,Weekend dinner,Late night snack",$7.50,7.50,The Avengers,avengers,ice tea,ice tea,Friends,A little (mild),Shawarma
618150,4,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9,9,None,N/A,Diet Coke,diet coca cola,"Parents,Siblings,Strangers",A lot (hot),Shawarma
607944,5,7,7,"Week day lunch,Week day dinner",10,10,chef,chef,Juice,juice,Friends,A moderate amount (medium),Shawarma
629844,4,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7,7,Minions,minions,Orange juice,orange juice,"Friends,Strangers",A little (mild),Shawarma
626482,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9,9,The Big Sick,the big sick,Sprite,sprite,"Parents,Siblings",A little (mild),Shawarma
609257,4,10,10,"Week day dinner,Weekend dinner,Late night snack",14$,14,Jurassic Park,jurassic park,Water,water,"Friends,Strangers",A little (mild),Shawarma
717921,4,20,20,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13,13,Wicked,wicked,Sparkling water,sparkling water,Friends,A moderate amount (medium),Shawarma
181851,3,7,7,Week day lunch,8,8,None,N/A,water,water,"Friends,Strangers",A lot (hot),Shawarma
629041,2,6,6,Week day lunch,9 dollars,9,Aladdin,aladdin,Iced tea,iced tea,Friends,A little (mild),Shawarma
604062,3,Six to seven.,6-7,"Week day lunch,Weekend lunch,Late night snack",$6,6,Marvel's Avengers,marvel's avengers,Coke/Coke Zero,coca cola coca cola zero,"Friends,Strangers",A moderate amount (medium),Shawarma
716749,3,7,7,"Week day lunch,Weekend lunch",10-15 dollar,10-15,no,N/A,water or lemon water,water or lemon water,Friends,A moderate amount (medium),Shawarma
633143,4,Around 8-10 ingredients,8-10,"Week day lunch,Weekend lunch,Late night snack",Around $8,8,The Avengers 1,avengers,Soft drinks such as Coca-Cola,coca cola,Friends,A little (mild),Shawarma
743828,5,8,8,"Week day lunch,Weekend lunch,Late night snack",12,12,Avengers,avengers,Mango Juice,mango juice,"Siblings,Friends,Strangers",A lot (hot),Shawarma
520861,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,10,None,N/A,Soda,soda,Strangers,A moderate amount (medium),Shawarma
517019,4,9,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",11,11,Avengers,avengers,pop,pop,Friends,A moderate amount (medium),Shawarma
626779,4,"meat, pita, onions",3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15$,15,i dont know,N/A,water,water,Strangers,A moderate amount (medium),Shawarma
611716,2,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,7,The Avenger,avenger,coke,coca cola,Siblings,A little (mild),Shawarma
193195,4,15,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$15,15,Avengers,avengers,Soda,soda,"Friends,Strangers",A lot (hot),Shawarma
627530,4,8,8,"Week day lunch,Weekend lunch,At a party",$10,10,Arcane,arcane,Ginger Ale,ginger ale,Friends,I will have some of this food item with my hot sauce,Shawarma
626479,4,Around 6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8,8,Avengers because of Iron Man asking everyone to get shawarma after the fight,avengers because of iron man asking everyone to get shawarma after the fight,Some type of soda,soda,Friends,A moderate amount (medium),Shawarma
624540,4,"5, 

lettuce, 

chicken

powder",4,Week day lunch,7 for 2,7,Bahen,bahen,crush/cola,crush cola,Friends,A moderate amount (medium),Shawarma
625315,3,6-9,6-9,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$12,12,The Avengers,avengers,Soft drink,soft drink,"Parents,Siblings,Friends",A lot (hot),Shawarma
601941,2,6,6,Week day lunch,14 dollar without tax,14,"none, only thing I know about it is the game, shawarma legend.",N/A,cococola,cococola,Friends,A lot (hot),Shawarma
723968,2,25 ingredients,25,"Week day lunch,Week day dinner",within 10 dollors,10,Legend of Shawama,legend of shawama,Nestea,nestea,Friends,None,Shawarma
715806,3,5,5,"Week day lunch,Weekend lunch,Late night snack",10,10.00,Aladdin,aladdin,sprite,sprite,Strangers,None,Shawarma
720045,2,8,8,"Week day lunch,Week day dinner",6,6,Avengers,avengers,Water,water,Strangers,A lot (hot),Shawarma
713585,3,5,5,Week day lunch,10,10,Idk,idk,Soda,soda,"Friends,Strangers",A moderate amount (medium),Shawarma
611188,4,6,6,Week day lunch,7,7.00,The Mummy,the mummy,Water,water,"Friends,Strangers",A moderate amount (medium),Shawarma
606726,2,7,7,"Week day lunch,Late night snack",8,8,The Kite Runner,the kite runner,Ayran,ayran,"Siblings,Friends",A little (mild),Shawarma
629142,4,I would expect this food item to contain around 10 ingredients.,10,Week day lunch,I would expect to pay around $10 for a single serving of this food item.,10,I think of the movie The Avengers.,avengers,I would pair pop with this food item.,pop,"Friends,Strangers",A moderate amount (medium),Shawarma
634825,4,10,10,Week day lunch,$10,10,Marvel Avengers,marvel avengers,Soda,soda,Friends,A lot (hot),Shawarma
613409,5,"Rice, Beef, Spice, Onion, Tomato, Lettuce. Total of 6",6,Week day lunch,14,14,Forest Gump,forest gump,Coke-Cola,coca cola,Strangers,None,Shawarma
633224,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4.00,4.00,John Wick,john wick,Water,water,"Friends,Strangers",A little (mild),Shawarma
738850,3,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,10,The Avengers,avengers,Water,water,"Parents,Strangers",A lot (hot),Shawarma
500470,4,At least 5,5,"Week day lunch,Weekend lunch,Late night snack",8.50 CAD,8.50,Avengers,avengers,Soda,soda,Friends,A little (mild),Shawarma
13183,3,10,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,10,Aladdin,aladdin,diet coke,diet coca cola,Strangers,A little (mild),Shawarma
627169,1,8,8,"Week day lunch,Weekend lunch,Late night snack",$8,8,Ratatouille,ratatouille,Sprite,sprite,"Friends,Teachers",A little (mild),Shawarma
229041,4,7,7,Week day lunch,5-10 dollars,5-10,Avengers ,avengers,pepsi,pepsi,Friends,A little (mild),Shawarma
496344,5,3,3,Week day lunch,8,8,Avengers,avengers,Jarritos,jarritos,"Siblings,Friends",A little (mild),Shawarma
409723,3,15,15,"Week day lunch,Week day dinner,Weekend lunch",10,10,The Avengers,avengers,Lassi,lassi,Friends,A little (mild),Shawarma
630949,2,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7,7,Star Wars,star wars,Soda,soda,"Parents,Siblings,Friends",A little (mild),Shawarma
413014,2,"7-10, depending on how many veggies you want inside",7-10,"Week day lunch,Weekend lunch",7-10$ for one shawarma,7-10,"I think of movies that take place in Toronto since it's so common here, such as Scott Pilgrim vs The World",i think of movies that take place in toronto since it's so common here such as scott pilgrim vs the world,A fruit juice such as orange juice,orange juice,"Friends,Strangers",A little (mild),Shawarma
310438,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,10,The Avengers ,avengers,Water,water,"Parents,Siblings",A lot (hot),Shawarma
627430,4,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",8,8,The avengers,avengers,Water,water,"Parents,Siblings",A lot (hot),Shawarma
526510,3,8,8,"Week day lunch,Week day dinner,Weekend lunch",10,10,None,N/A,water,water,"Friends,Teachers",A moderate amount (medium),Shawarma
390823,2,5,5,"Week day lunch,Weekend lunch",$7,7,Scott Pilgrim,scott pilgrim,Nestea,nestea,"Friends,Strangers",A moderate amount (medium),Shawarma
717116,3,3-5,3-5,"Week day lunch,Week day dinner",~$15,15,The Avengers,avengers,carbonated drinks,carbonated drinks,Strangers,A moderate amount (medium),Shawarma
712143,2,8,8,"Weekend dinner,Late night snack",18,18,"Shawarma Legend
---------------",shawarma legend,cola,cola,Friends,A moderate amount (medium),Shawarma
612538,4,10,10,"Week day lunch,Late night snack",$5,5,Avengers,avengers,water,water,"Friends,Teachers",A lot (hot),Shawarma
627539,4,6,6,"Week day lunch,Weekend lunch",10$,10,Rush Hour,rush hour,Sprite,sprite,Teachers,A little (mild),Shawarma
603812,3,7,7,Week day lunch,7 Bucks,7,Good Will Hunting,good will hunting,Root Beer,root beer,"Friends,Strangers",A little (mild),Shawarma
740568,2,6,6,"Week day lunch,Weekend lunch",$8,8,Fight Club,fight club,Water,water,Friends,A little (mild),Shawarma
712702,4,4,4,Week day dinner,10,10,Shawarma Bowl,shawarma bowl,pineapple juice,pineapple juice,Friends,A little (mild),Shawarma
519638,4,"7 - Pita Bread, Chicken, Lettuce, Pickle, Onion, Rice, Shawarma Sauce",7,"Week day lunch,Week day dinner,Late night snack",$7.25 for one wrap,7.25,Drive,drive,Water,water,"Friends,Strangers",A moderate amount (medium),Shawarma
627800,3,6-7,6-7,"Week day lunch,Weekend lunch,Late night snack",8-12 dollars,8-12,Avengers ,avengers,"Water, Soda",water soda,"Teachers,Strangers",A little (mild),Shawarma
406863,4,8,8,"Week day lunch,Weekend lunch",10,10,Lion King,lion king,Coke,coca cola,Friends,A moderate amount (medium),Shawarma
726962,2,8,8,"Week day dinner,Weekend dinner",20,20,Captain of America,captain of america,Water,water,Friends,A little (mild),Shawarma
628077,4,15,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",12,12,The Avengers,avengers,Water,water,"Friends,Strangers",A moderate amount (medium),Shawarma
601693,3,7 (if we're talking about a shawarma wrap),7,"Week day lunch,Weekend lunch",$7,7,The Avengers,avengers,Water,water,"Friends,Strangers",A little (mild),Shawarma
517096,4,8 to 10,8-10,"Week day lunch,Weekend lunch,Late night snack",$7 to $10,7-10,The Avengers,avengers,Nestea,nestea,Friends,A moderate amount (medium),Shawarma
606821,2,8,8,"Week day lunch,Weekend lunch,Late night snack",$5,5,Avengers,avengers,Water,water,Friends,A moderate amount (medium),Shawarma
455047,2,4,4,"Week day lunch,Weekend lunch",8,8,None,N/A,"juice, water or coke",juice water or coca cola,Friends,A moderate amount (medium),Shawarma
625576,4,12,12,"Week day lunch,Late night snack",10,10,The Avengers,avengers,Water,water,"Siblings,Friends,Strangers",A moderate amount (medium),Shawarma
716549,2,5,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,15,Spirited Away,spirited away,Miso soup,miso soup,Friends,A little (mild),Sushi
715742,3,"紫菜，米饭

rice, vege

salmon",3,"Weekend dinner,At a party",6$ a pack,6,Japanese movies,japanese movies,Miso Soup,miso soup,Friends,None,Sushi
727333,2,4,4,At a party,5dollar,5,cartoon movie,cartoon movie,cola,cola,Parents,A little (mild),Sushi
606874,2,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15,15,Johnny English,johnny english,Water,water,Parents,None,Sushi
505318,5,3-10,3-10,"Week day lunch,Weekend lunch,Weekend dinner",$8,8,Karate Kid,karate kid,Water,water,"Siblings,Friends",A moderate amount (medium),Sushi
605771,4,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15,15,None,N/A,None,none,"Siblings,Friends",None,Sushi
606929,3,about 5,5,Weekend lunch,10 dollor,10,drange,drange,coke,coca cola,Friends,A moderate amount (medium),Sushi
609789,2,3,3,"Week day dinner,Weekend dinner",30 dollar,30,The Truman Show,the truman show,ice tea,ice tea,Friends,A lot (hot),Sushi
644623,5,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15-30 dollars,15-30,None,N/A,None,none,"Parents,Friends",None,Sushi
626792,4,10,10,Week day lunch,12,12,Kung fu panda,kung fu panda,tea,tea,"Friends,Strangers",A moderate amount (medium),Sushi
714863,2,4,4,"Week day lunch,Weekend lunch,Late night snack",20,20,none,N/A,tea,tea,Siblings,None,Sushi
602805,5,11,11,"Week day dinner,Weekend dinner",16 Canadian Dollars,16,The Wolverine,the wolverine,Coca Cola,coca cola,Friends,None,Sushi
602526,5,5,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$9,9,Spirited Away,spirited away,soju,soju,"Parents,Siblings,Friends",A little (mild),Sushi
497421,1,"Around 4, such as rice, meat, vegetables, seafood.",4,"Weekend lunch,Weekend dinner",30-100 CAD,30-100,Jiro Dreams of Sushi,jiro dreams of sushi,Oolong tea,oolong tea,"Parents,Siblings,Friends",None,Sushi
389328,4,4,4,"Week day lunch,Week day dinner,Weekend lunch",$15,15,Kill Bill,kill bill,Sake,sake,Teachers,A moderate amount (medium),Sushi
289931,5,"5: Seaweed, Rice, Fish, Wasabi, Soy Sauce",5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20,20,Finding Nemo,finding nemo,green tea,green tea,"Parents,Friends",None,Sushi
620148,2,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,12,Your Name,your name,Tea,tea,"Parents,Friends",A moderate amount (medium),Sushi
387155,4,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",16,16,Once Upon a Time... in Hollywood,once upon a time in hollywood,water,water,"Parents,Siblings,Friends,Strangers",None,Sushi
516975,5,10,10,"Weekend lunch,Weekend dinner,At a party",$13 - $20 sadly,13-20,The Lord of the Rings: The Fellowship of the Ring,the lord of the rings the fellowship of the ring,Iced tea,iced tea,"Parents,Siblings,Friends",None,Sushi
630825,2,4,4,"Weekend lunch,Weekend dinner,At a party",15 dollars,15,Transformer,transformer,Soup,soup,Friends,None,Sushi
614043,5,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",23,23,Cars,cars,Green tea,green tea,"Friends,Strangers",None,Sushi
521125,3,4,4,"Week day lunch,Weekend lunch,Weekend dinner,Late night snack",$5.00,5.00,Shark Tale,shark tale,Root beer,root beer,"Siblings,Friends",None,Sushi
627780,3,2,2,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$50,50,Bullet Train ,bullet train,Sake,sake,"Parents,Friends",None,Sushi
492744,2,4-6,4-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,20.00,Tokyo Story,tokyo story,Lemon water,lemon water,"Siblings,Friends",A little (mild),Sushi
618747,3,"Rice, nori, cucumber, salmon, avocado, crab, soy sauce",7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","Sushi can cost quite a lot sometimes if it is an omakase restaurant. For regular sushi, one box of sushi costs around $15.",15,Jiro Dreams of Sushi,jiro dreams of sushi,"Sake, beer",sake beer,Friends,None,Sushi
607815,2,3,3,"Week day dinner,Weekend dinner",20 CAD,20,Your Name,your name,Sake,sake,"Parents,Friends",None,Sushi
601609,5,10,10,"Week day lunch,Weekend lunch",15,15,Harry Potter,harry potter,Diet Coke,diet coca cola,"Parents,Friends",None,Sushi
602657,2,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",20,20,Jiro Dreams of Sushi,jiro dreams of sushi,miso soup,miso soup,"Parents,Friends",A moderate amount (medium),Sushi
616449,4,Four,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12,12,Isle of Dogs,isle of dogs,Green tea,green tea,"Parents,Siblings",None,Sushi
501893,3,2: rice and sashimi,2,"Week day dinner,Weekend dinner",CAD15-20,15-20,"Little Forest, a Japanese film",little forest a japanese film,tea,tea,"Parents,Friends",A moderate amount (medium),Sushi
507448,3,"salmon, cucumber",2,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",30,30,Jiro Dreams of Sushi,jiro dreams of sushi,Calpis,calpis,"Parents,Siblings",None,Sushi
606556,4,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4 dollars,4,Doraemon,doraemon,Miso Soup,miso soup,"Parents,Siblings,Friends",None,Sushi
724326,4,"5 (Nori, rice, cream cheese, cucumber and salmon)",5,"Weekend lunch,Weekend dinner,At a party",$16-18,16-18,"""Naruto""",naruto,Tea,tea,"Siblings,Friends",A little (mild),Sushi
616945,3,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",5,5,rush hour,rush hour,water,water,Siblings,None,Sushi
630962,2,2,2,"Week day lunch,Weekend lunch,At a party",18,18,Jaws,jaws,Water,water,"Friends,Strangers",None,Sushi
715814,1,"4 ingredients, dried laver, rice, some sauces (usually 1 sauce), some toppings (usually just 1 kind, sometimes might come to 2 or 3, and as sometimes dried laver is not used, we will give an average of 4 here).",4,"Week day lunch,Weekend lunch,At a party,Late night snack","For a meal of sushi (like dinner), though I never had it at Toronto, I would expect to pay for around 40-50 CAD, and for each piece/plate, depending on the ingredients/number of sushi, it may cost 5-10 normally, and I think this is a fair price.",40-50,I might came up with some Japan related movies(like Jiro Dreams of Sushi - this is in fact a documentary)/cartoons(like 一休さん)/TV series (like The Solitary Gourmet).,i might came up with some japan related movies like jiro dreams of sushi this is in fact a documentary cartoons like 一休さん tv series like the solitary gourmet,"I would say some Japanese culture related drinks like their wines (e.g. beer, rice wine, etc.) and tea (green tea more if specifically).",beer rice wine green tea,"Parents,Friends,Teachers",A moderate amount (medium),Sushi
502799,1,4,4,"Week day dinner,Weekend dinner",$10,10,Rush hour,rush hour,Water,water,Friends,None,Sushi
605278,4,"5 for nigiri (rice, water, rice vinegar, wasabi, some sort of protein)",5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10,10,The End of Evangelion,the end of evangelion,Tea,tea,"Parents,Friends",None,Sushi
388888,5,5,5,"Week day dinner,Weekend dinner,At a party",20,20,Midnight Diner,midnight diner,Barley tea,barley tea,"Parents,Friends,Teachers",None,Sushi
519548,2,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$20,20,Spirited Away,spirited away,Sake,sake,"Siblings,Friends,Strangers",None,Sushi
405521,5,2,2,"Week day dinner,Weekend dinner",18,18,anime,anime,beer,beer,"Parents,Siblings",None,Sushi
607410,2,3,3,At a party,$16,16,Crazy Rich Asians ,crazy rich asians,Water,water,Strangers,None,Sushi
715795,3,6,6,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$10,10,The Perfect Storm,the perfect storm,Iced fruit punch juice,iced fruit punch juice,"Parents,Strangers",None,Sushi
625326,3,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$1,1,Anime,anime,Soup,soup,"Parents,Siblings,Friends",None,Sushi
627220,4,5 to 7,5-7,"Week day dinner,Weekend lunch,Weekend dinner",15 to 20 dollars,15-20,The Karate Kid,the karate kid,Water,water,"Parents,Siblings,Friends",None,Sushi
634964,2,2,2,"Weekend lunch,Weekend dinner",$20,20,John Wick,john wick,Water,water,Friends,None,Sushi
722500,2,3,3,"Week day lunch,Week day dinner,At a party",$1,1,Jiro Dreams of Sushi,jiro dreams of sushi,apple juice,apple juice,"Parents,Friends,Teachers",None,Sushi
602824,5,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10 dollars,10,The Pacific,the pacific,tea,tea,"Friends,Strangers",None,Sushi
618355,4,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",8,8.00,weathering with you,weathering with you,hot tea,hot tea,Friends,None,Sushi
611097,2,5,5,"Weekend dinner,Late night snack",10,10,Kill Bill,kill bill,coke,coca cola,Friends,A moderate amount (medium),Sushi
634328,5,15,15,"Week day dinner,Weekend dinner,At a party",$15,15,Findig Nemo,findig nemo,Green Tea,green tea,Strangers,A little (mild),Sushi
607160,4,7,7,"Week day dinner,Weekend dinner,At a party",$15,15,kill bill,kill bill,sake,sake,"Siblings,Friends",A moderate amount (medium),Sushi
728522,5,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15,15,Eternal Sunshine of the Spotless Mind,eternal sunshine of the spotless mind,Hot Tea,hot tea,"Parents,Friends",None,Sushi
718570,4,5,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party",10,10,None,N/A,juice/wine,juice wine,"Parents,Friends",A moderate amount (medium),Sushi
714598,2,3,3,"Weekend dinner,At a party",35,35,Cars 2,cars 2,Hot tea,hot tea,"Parents,Siblings,Friends",None,Sushi
601950,3,2,2,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",3,3,Jiro dreams of Sushi,jiro dreams of sushi,tea,tea,"Parents,Friends",None,Sushi
612478,2,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$14,14,My neighbour Totoro,my neighbour totoro,Beer,beer,"Parents,Siblings,Friends",None,Sushi
501416,3,2~5 excluding condiments and without variety.,2-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15 or above,15,N/A (I don't watch a lot of movies),N/A,"Tea, uncarbonated soft drink, alcoholic beverage",tea uncarbonated soft drink alcoholic beverage,"Siblings,Friends,Teachers",None,Sushi
629710,2,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$2,2,Johnny English,johnny english,Water,water,"Parents,Siblings,Friends",A moderate amount (medium),Sushi
502610,3,2 rice and fish. can be 3 with toppings,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack", 6$ ,6,tokyo drift,tokyo drift,Water,water,"Parents,Siblings,Friends",None,Sushi
603476,5,4,4,"Week day dinner,Weekend dinner,At a party",20,20,Oldboy,oldboy,water,water,"Parents,Siblings",None,Sushi
600957,5,8,8,"Week day dinner,Weekend lunch,Weekend dinner",12,12,The Proposal,the proposal,Water,water,Friends,None,Sushi
713423,1,"~3 to 5: sushi rice + dried seaweed + some kind of sashimi is sufficient, but maybe something more as well",3-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",Maybe for ~CA$10-15 for 10 simple sushis at sushi express restaurants,10-15,Spirited Away,spirited away,tea,tea,Parents,A little (mild),Sushi
722431,2,Around 6 key ingredients.,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15$ for 10pcs.,15,Rurouni Kenshin.,rurouni kenshin,Sake or green tea.,sake or green tea,"Parents,Siblings",None,Sushi
633234,5,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10,10,Oldboy,oldboy,Water,water,"Siblings,Friends",A little (mild),Sushi
148179,5,5,5,"Week day dinner,Weekend dinner,At a party",30,30,None,N/A,Tea,tea,"Parents,Friends",None,Sushi
715845,3,7,7,"Week day dinner,Weekend dinner",$17,17,Spirited Away,spirited away,Green tea,green tea,"Friends,Strangers",None,Sushi
632153,2,At least 3,3,"Week day lunch,At a party,Late night snack",At most $15,15,Nemo,nemo,Fish sauce,fish sauce,"Siblings,Friends",A moderate amount (medium),Sushi
606552,4,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,12,Gone Girl,gone girl,Water,water,"Friends,Strangers",None,Sushi
738409,2,3,3,"Week day dinner,Weekend dinner",15,15,My Hero Academia,my hero academia,milk,milk,Parents,None,Sushi
612096,5,5,5,"Weekend lunch,Weekend dinner,At a party",7.5,8,Food Wars!,food wars,Green tea,green tea,"Friends,Strangers",A moderate amount (medium),Sushi
743537,3,4,4,"Week day dinner,Weekend dinner",3 dollars,3,Your Name (2016),your name,Cold water,cold water,"Parents,Siblings",None,Sushi
632896,3,I expect 6 ingredients contained in this food item.,6,"Week day lunch,Weekend dinner,At a party",I would expect 12 dollars for 1 serving of this food item.,12,I think of the movie Your Name.,your name,I think Sake pair with this food item. ,sake,"Parents,Siblings,Friends",A moderate amount (medium),Sushi
605207,5,4,4,"Week day dinner,Weekend dinner",$10,10,Bullet Train,bullet train,Water,water,Siblings,None,Sushi
617542,2,2 to 3,2-3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",Around $25 a meal or $1-3 each serving/piece,25,Isle of Dogs,isle of dogs,Miso Soup,miso soup,Parents,None,Sushi
719554,5,1,1,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,10,"深夜食堂

ナミヤ雑貨店の奇蹟",深夜食堂,Miso soup,miso soup,"Parents,Strangers",None,Sushi
627427,3,2,2,"Week day dinner,Weekend dinner,At a party",$30.00,30.00,Liz and the Blue Bird,liz and the blue bird,Green tea,green tea,"Parents,Siblings",None,Sushi
411315,4,5,5,"Week day dinner,Weekend dinner,At a party",9,9,spirited away,spirited away,tea,tea,"Parents,Siblings",None,Sushi
631507,3,It depends on what kind… on average 5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 10 dollars per roll,10,Spirited Away (2001),spirited away,Water,water,"Parents,Friends",None,Sushi
627798,5,4,4,"Week day dinner,Weekend dinner",$11,11,Frozen,frozen,Tea,tea,"Parents,Siblings",None,Sushi
712093,4,5,5,"Week day dinner,Weekend dinner",15$,15,Seven Samurai,seven samurai,Water,water,Strangers,None,Sushi
627488,3,7,7,"Week day dinner,Weekend lunch,Weekend dinner",15,15,Barbie,barbie,Water,water,"Parents,Friends",A little (mild),Sushi
626493,5,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15,15,Cars 2,cars 2,Water,water,"Friends,Strangers",None,Sushi
601363,4,2-5,2-5,"Week day dinner,Weekend dinner,At a party",$14-$20,14-20,The boy and the heron,the boy and the heron,A beer,beer,"Parents,Friends",A little (mild),Sushi
712898,2,4,4,"Week day dinner,Weekend lunch,Weekend dinner",20,20,Howl's Moving Castle,howl's moving castle,green tea,green tea,"Parents,Friends",None,Sushi
603398,5,7-10,7-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15 - 25 CAD,15-25,Suits,suits,"I wouldn't pair a drink with sushi

Water probably",water,Friends,A little (mild),Sushi
631012,5,9,9,At a party,13,13,Kung Fu Panda,kung fu panda,Water,water,Strangers,None,Sushi
601848,2,5,5,"Week day lunch,Weekend lunch,Weekend dinner",$13,13,John Wick 4,john wick 4,Green tea,green tea,"Parents,Siblings,Friends",None,Sushi
612131,4,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8,8,The Wolverine,the wolverine,Green tea / ocha,green tea ocha,"Parents,Siblings,Friends",A little (mild),Sushi
408630,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",3 dollars,3,Finding Nemo,finding nemo,tea,tea,"Parents,Friends",None,Sushi
632091,3,5-6,5-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8-12$ per tray,8-12,no movie,N/A,tea,tea,"Parents,Friends",None,Sushi
601122,4,5,5,"Week day dinner,Weekend lunch,Weekend dinner",7,7,The Wolverine,the wolverine,Sake,sake,"Friends,Teachers",None,Sushi
602871,3,3,3,"Week day dinner,Weekend dinner",6 cad,6,Jiro Dreams of Sushi,jiro dreams of sushi,Miso soup,miso soup,"Siblings,Friends",None,Sushi
520828,4,3,3,"Week day lunch,Week day dinner,Weekend dinner",12,12,Isle of Dogs,isle of dogs,Tea,tea,"Parents,Friends",None,Sushi
514199,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,12,None,N/A,Tea,tea,"Parents,Friends",A little (mild),Sushi
