"id","Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)","Q2: How many ingredients would you expect this food item to contain?","Q3: In what setting would you expect this food to be served? Please check all that apply","Q4: How much would you expect to pay for one serving of this food item?","Q5: What movie do you think of when thinking of this food item?","Q6: What drink would you pair with this food item?","Q7: When you think about this food item, who does it remind you of?","Q8: How much hot sauce would you add to this food item?","Label"
"603388","2","8.0","Week day lunch","13.0","the avengers","coke","Strangers","A little (mild)","Shawarma"
"617774","4","7.5","Week day lunch,Week day dinner","12.0","the social network","water","Friends,Strangers","N/A","Shawarma"
"289440","4","5.0","Week day lunch,Week day dinner","7.0","the avengers","coke","Friends,Strangers","A moderate amount (medium)","Shawarma"
"714503","2","34.0","Week day lunch,Weekend lunch,Late night snack","10.0","documenary","cola","Siblings,Friends,Strangers","A little (mild)","Shawarma"
"714893","4","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","avengers","coke","Friends","A moderate amount (medium)","Shawarma"
"601094","3","12.0","Week day lunch,Weekend dinner,Late night snack","7.5","the avengers","ice tea","Friends","A little (mild)","Shawarma"
"618150","4","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","9.0","N/A","diet coke","Parents,Siblings,Strangers","A lot (hot)","Shawarma"
"607944","5","7.0","Week day lunch,Week day dinner","10.0","chef","juice","Friends","A moderate amount (medium)","Shawarma"
"629844","4","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","7.0","minions","orange juice","Friends,Strangers","A little (mild)","Shawarma"
"626482","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","9.0","the big sick","sprite","Parents,Siblings","A little (mild)","Shawarma"
"609257","4","10.0","Week day dinner,Weekend dinner,Late night snack","14.0","jurassic park","water","Friends,Strangers","A little (mild)","Shawarma"
"717921","4","20.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","13.0","wicked","sparkling water","Friends","A moderate amount (medium)","Shawarma"
"181851","3","7.0","Week day lunch","8.0","N/A","water","Friends,Strangers","A lot (hot)","Shawarma"
"629041","2","6.0","Week day lunch","9.0","aladdin","iced tea","Friends","A little (mild)","Shawarma"
"604062","3","N/A","Week day lunch,Weekend lunch,Late night snack","6.0","marvels avengers","cokecoke zero","Friends,Strangers","A moderate amount (medium)","Shawarma"
"716749","3","7.0","Week day lunch,Weekend lunch","12.5","no","water or lemon water","Friends","A moderate amount (medium)","Shawarma"
"633143","4","9.0","Week day lunch,Weekend lunch,Late night snack","8.0","the avengers","soft drinks such as cocacola","Friends","A little (mild)","Shawarma"
"743828","5","8.0","Week day lunch,Weekend lunch,Late night snack","12.0","avengers","mango juice","Siblings,Friends,Strangers","A lot (hot)","Shawarma"
"520861","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","10.0","N/A","soda","Strangers","A moderate amount (medium)","Shawarma"
"517019","4","9.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","11.0","avengers","pop","Friends","A moderate amount (medium)","Shawarma"
"626779","4","N/A","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","15.0","i dont know","water","Strangers","A moderate amount (medium)","Shawarma"
"611716","2","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","7.0","the avenger","coke","Siblings","A little (mild)","Shawarma"
"193195","4","15.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","15.0","avengers","soda","Friends,Strangers","A lot (hot)","Shawarma"
"627530","4","8.0","Week day lunch,Weekend lunch,At a party","10.0","arcane","ginger ale","Friends","I will have some of this food item with my hot sauce","Shawarma"
"626479","4","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","8.0","avengers because of iron man asking everyone to get shawarma after the fight","some type of soda","Friends","A moderate amount (medium)","Shawarma"
"624540","4","5.0","Week day lunch","72.0","bahen","crushcola","Friends","A moderate amount (medium)","Shawarma"
"625315","3","7.5","Week day lunch,Week day dinner,Weekend lunch,Late night snack","12.0","the avengers","soft drink","Parents,Siblings,Friends","A lot (hot)","Shawarma"
"601941","2","6.0","Week day lunch","14.0","none only thing i know about it is the game shawarma legend","cococola","Friends","A lot (hot)","Shawarma"
"723968","2","25.0","Week day lunch,Week day dinner","10.0","legend of shawama","nestea","Friends","N/A","Shawarma"
"715806","3","5.0","Week day lunch,Weekend lunch,Late night snack","10.0","aladdin","sprite","Strangers","N/A","Shawarma"
"720045","2","8.0","Week day lunch,Week day dinner","6.0","avengers","water","Strangers","A lot (hot)","Shawarma"
"713585","3","5.0","Week day lunch","10.0","idk","soda","Friends,Strangers","A moderate amount (medium)","Shawarma"
"611188","4","6.0","Week day lunch","7.0","the mummy","water","Friends,Strangers","A moderate amount (medium)","Shawarma"
"606726","2","7.0","Week day lunch,Late night snack","8.0","the kite runner","ayran","Siblings,Friends","A little (mild)","Shawarma"
"629142","4","10.0","Week day lunch","10.0","i think of the movie the avengers","i would pair pop with this food item","Friends,Strangers","A moderate amount (medium)","Shawarma"
"634825","4","10.0","Week day lunch","10.0","marvel avengers","soda","Friends","A lot (hot)","Shawarma"
"613409","5","0.6","Week day lunch","14.0","forest gump","cokecola","Strangers","N/A","Shawarma"
"633224","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","4.0","john wick","water","Friends,Strangers","A little (mild)","Shawarma"
"738850","3","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","10.0","the avengers","water","Parents,Strangers","A lot (hot)","Shawarma"
"500470","4","5.0","Week day lunch,Weekend lunch,Late night snack","8.5","avengers","soda","Friends","A little (mild)","Shawarma"
"13183","3","10.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","aladdin","diet coke","Strangers","A little (mild)","Shawarma"
"627169","1","8.0","Week day lunch,Weekend lunch,Late night snack","8.0","ratatouille","sprite","Friends,Teachers","A little (mild)","Shawarma"
"229041","4","7.0","Week day lunch","7.5","avengers","pepsi","Friends","A little (mild)","Shawarma"
"496344","5","3.0","Week day lunch","8.0","avengers","jarritos","Siblings,Friends","A little (mild)","Shawarma"
"409723","3","15.0","Week day lunch,Week day dinner,Weekend lunch","10.0","the avengers","lassi","Friends","A little (mild)","Shawarma"
"630949","2","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","7.0","star wars","soda","Parents,Siblings,Friends","A little (mild)","Shawarma"
"413014","2","8.5","Week day lunch,Weekend lunch","8.5","i think of movies that take place in toronto since its so common here such as scott pilgrim vs the world","a fruit juice such as orange juice","Friends,Strangers","A little (mild)","Shawarma"
"310438","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","10.0","the avengers","water","Parents,Siblings","A lot (hot)","Shawarma"
"627430","4","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","8.0","the avengers","water","Parents,Siblings","A lot (hot)","Shawarma"
"526510","3","8.0","Week day lunch,Week day dinner,Weekend lunch","10.0","N/A","water","Friends,Teachers","A moderate amount (medium)","Shawarma"
"390823","2","5.0","Week day lunch,Weekend lunch","7.0","scott pilgrim","nestea","Friends,Strangers","A moderate amount (medium)","Shawarma"
"717116","3","4.0","Week day lunch,Week day dinner","15.0","the avengers","carbonated drinks","Strangers","A moderate amount (medium)","Shawarma"
"712143","2","8.0","Weekend dinner,Late night snack","18.0","shawarma legend","cola","Friends","A moderate amount (medium)","Shawarma"
"612538","4","10.0","Week day lunch,Late night snack","5.0","avengers","water","Friends,Teachers","A lot (hot)","Shawarma"
"627539","4","6.0","Week day lunch,Weekend lunch","10.0","rush hour","sprite","Teachers","A little (mild)","Shawarma"
"603812","3","7.0","Week day lunch","7.0","good will hunting","root beer","Friends,Strangers","A little (mild)","Shawarma"
"740568","2","6.0","Week day lunch,Weekend lunch","8.0","fight club","water","Friends","A little (mild)","Shawarma"
"712702","4","4.0","Week day dinner","10.0","shawarma bowl","pineapple juice","Friends","A little (mild)","Shawarma"
"519638","4","N/A","Week day lunch,Week day dinner,Late night snack","7.2","drive","water","Friends,Strangers","A moderate amount (medium)","Shawarma"
"627800","3","6.5","Week day lunch,Weekend lunch,Late night snack","10.0","avengers","water soda","Teachers,Strangers","A little (mild)","Shawarma"
"406863","4","8.0","Week day lunch,Weekend lunch","10.0","lion king","coke","Friends","A moderate amount (medium)","Shawarma"
"726962","2","8.0","Week day dinner,Weekend dinner","20.0","captain of america","water","Friends","A little (mild)","Shawarma"
"628077","4","15.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","12.0","the avengers","water","Friends,Strangers","A moderate amount (medium)","Shawarma"
"601693","3","7.0","Week day lunch,Weekend lunch","7.0","the avengers","water","Friends,Strangers","A little (mild)","Shawarma"
"517096","4","810.0","Week day lunch,Weekend lunch,Late night snack","710.0","the avengers","nestea","Friends","A moderate amount (medium)","Shawarma"
"606821","2","8.0","Week day lunch,Weekend lunch,Late night snack","5.0","avengers","water","Friends","A moderate amount (medium)","Shawarma"
"455047","2","4.0","Week day lunch,Weekend lunch","8.0","N/A","juice water or coke","Friends","A moderate amount (medium)","Shawarma"
"625576","4","12.0","Week day lunch,Late night snack","10.0","the avengers","water","Siblings,Friends,Strangers","A moderate amount (medium)","Shawarma"
"716549","2","5.0","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","spirited away","miso soup","Friends","A little (mild)","Sushi"
"715742","3","N/A","Weekend dinner,At a party","6.0","japanese movies","miso soup","Friends","N/A","Sushi"
"727333","2","4.0","At a party","5.0","cartoon movie","cola","Parents","A little (mild)","Sushi"
"606874","2","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","15.0","johnny english","water","Parents","N/A","Sushi"
"505318","5","6.5","Week day lunch,Weekend lunch,Weekend dinner","8.0","karate kid","water","Siblings,Friends","A moderate amount (medium)","Sushi"
"605771","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","15.0","N/A","N/A","Siblings,Friends","N/A","Sushi"
"606929","3","5.0","Weekend lunch","10.0","drange","coke","Friends","A moderate amount (medium)","Sushi"
"609789","2","3.0","Week day dinner,Weekend dinner","30.0","the truman show","ice tea","Friends","A lot (hot)","Sushi"
"644623","5","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","22.5","N/A","N/A","Parents,Friends","N/A","Sushi"
"626792","4","10.0","Week day lunch","12.0","kung fu panda","tea","Friends,Strangers","A moderate amount (medium)","Sushi"
"714863","2","4.0","Week day lunch,Weekend lunch,Late night snack","20.0","none","tea","Siblings","N/A","Sushi"
"602805","5","11.0","Week day dinner,Weekend dinner","16.0","the wolverine","coca cola","Friends","N/A","Sushi"
"602526","5","5.0","Week day dinner,Weekend lunch,Weekend dinner,At a party","9.0","spirited away","soju","Parents,Siblings,Friends","A little (mild)","Sushi"
"497421","1","4.0","Weekend lunch,Weekend dinner","65.0","jiro dreams of sushi","oolong tea","Parents,Siblings,Friends","N/A","Sushi"
"389328","4","4.0","Week day lunch,Week day dinner,Weekend lunch","15.0","kill bill","sake","Teachers","A moderate amount (medium)","Sushi"
"289931","5","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","20.0","finding nemo","green tea","Parents,Friends","N/A","Sushi"
"620148","2","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","12.0","your name","tea","Parents,Friends","A moderate amount (medium)","Sushi"
"387155","4","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","16.0","once upon a time in hollywood","water","Parents,Siblings,Friends,Strangers","N/A","Sushi"
"516975","5","10.0","Weekend lunch,Weekend dinner,At a party","16.5","the lord of the rings the fellowship of the ring","iced tea","Parents,Siblings,Friends","N/A","Sushi"
"630825","2","4.0","Weekend lunch,Weekend dinner,At a party","15.0","transformer","soup","Friends","N/A","Sushi"
"614043","5","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","23.0","cars","green tea","Friends,Strangers","N/A","Sushi"
"521125","3","4.0","Week day lunch,Weekend lunch,Weekend dinner,Late night snack","5.0","shark tale","root beer","Siblings,Friends","N/A","Sushi"
"627780","3","2.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","50.0","bullet train","sake","Parents,Friends","N/A","Sushi"
"492744","2","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","20.0","tokyo story","lemon water","Siblings,Friends","A little (mild)","Sushi"
"618747","3","N/A","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","N/A","jiro dreams of sushi","sake beer","Friends","N/A","Sushi"
"607815","2","3.0","Week day dinner,Weekend dinner","20.0","your name","sake","Parents,Friends","N/A","Sushi"
"601609","5","10.0","Week day lunch,Weekend lunch","15.0","harry potter","diet coke","Parents,Friends","N/A","Sushi"
"602657","2","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","20.0","jiro dreams of sushi","miso soup","Parents,Friends","A moderate amount (medium)","Sushi"
"616449","4","N/A","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","12.0","isle of dogs","green tea","Parents,Siblings","N/A","Sushi"
"501893","3","2.0","Week day dinner,Weekend dinner","17.5","little forest a japanese film","tea","Parents,Friends","A moderate amount (medium)","Sushi"
"507448","3","N/A","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","30.0","jiro dreams of sushi","calpis","Parents,Siblings","N/A","Sushi"
"606556","4","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","4.0","doraemon","miso soup","Parents,Siblings,Friends","N/A","Sushi"
"724326","4","5.0","Weekend lunch,Weekend dinner,At a party","17.0","naruto","tea","Siblings,Friends","A little (mild)","Sushi"
"616945","3","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","5.0","rush hour","water","Siblings","N/A","Sushi"
"630962","2","2.0","Week day lunch,Weekend lunch,At a party","18.0","jaws","water","Friends,Strangers","N/A","Sushi"
"715814","1","411234.0","Week day lunch,Weekend lunch,At a party,Late night snack","N/A","i might came up with some japan related movieslike jiro dreams of sushi this is in fact a documentarycartoonslike tv series like the solitary gourmet","i would say some japanese culture related drinks like their wines eg beer rice wine etc and tea green tea more if specifically","Parents,Friends,Teachers","A moderate amount (medium)","Sushi"
"502799","1","4.0","Week day dinner,Weekend dinner","10.0","rush hour","water","Friends","N/A","Sushi"
"605278","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","10.0","the end of evangelion","tea","Parents,Friends","N/A","Sushi"
"388888","5","5.0","Week day dinner,Weekend dinner,At a party","20.0","midnight diner","barley tea","Parents,Friends,Teachers","N/A","Sushi"
"519548","2","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","20.0","spirited away","sake","Siblings,Friends,Strangers","N/A","Sushi"
"405521","5","2.0","Week day dinner,Weekend dinner","18.0","anime","beer","Parents,Siblings","N/A","Sushi"
"607410","2","3.0","At a party","16.0","crazy rich asians","water","Strangers","N/A","Sushi"
"715795","3","6.0","Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack","10.0","the perfect storm","iced fruit punch juice","Parents,Strangers","N/A","Sushi"
"625326","3","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","1.0","anime","soup","Parents,Siblings,Friends","N/A","Sushi"
"627220","4","57.0","Week day dinner,Weekend lunch,Weekend dinner","1520.0","the karate kid","water","Parents,Siblings,Friends","N/A","Sushi"
"634964","2","2.0","Weekend lunch,Weekend dinner","20.0","john wick","water","Friends","N/A","Sushi"
"722500","2","3.0","Week day lunch,Week day dinner,At a party","1.0","jiro dreams of sushi","apple juice","Parents,Friends,Teachers","N/A","Sushi"
"602824","5","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","the pacific","tea","Friends,Strangers","N/A","Sushi"
"618355","4","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","8.0","weathering with you","hot tea","Friends","N/A","Sushi"
"611097","2","5.0","Weekend dinner,Late night snack","10.0","kill bill","coke","Friends","A moderate amount (medium)","Sushi"
"634328","5","15.0","Week day dinner,Weekend dinner,At a party","15.0","findig nemo","green tea","Strangers","A little (mild)","Sushi"
"607160","4","7.0","Week day dinner,Weekend dinner,At a party","15.0","kill bill","sake","Siblings,Friends","A moderate amount (medium)","Sushi"
"728522","5","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","15.0","eternal sunshine of the spotless mind","hot tea","Parents,Friends","N/A","Sushi"
"718570","4","5.0","Week day dinner,Weekend lunch,Weekend dinner,At a party","10.0","N/A","juicewine","Parents,Friends","A moderate amount (medium)","Sushi"
"714598","2","3.0","Weekend dinner,At a party","35.0","cars","hot tea","Parents,Siblings,Friends","N/A","Sushi"
"601950","3","2.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","3.0","jiro dreams of sushi","tea","Parents,Friends","N/A","Sushi"
"612478","2","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","14.0","my neighbour totoro","beer","Parents,Siblings,Friends","N/A","Sushi"
"501416","3","25.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","15.0","na i dont watch a lot of movies","tea uncarbonated soft drink alcoholic beverage","Siblings,Friends,Teachers","N/A","Sushi"
"629710","2","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","2.0","johnny english","water","Parents,Siblings,Friends","A moderate amount (medium)","Sushi"
"502610","3","2.3","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","tokyo drift","water","Parents,Siblings,Friends","N/A","Sushi"
"603476","5","4.0","Week day dinner,Weekend dinner,At a party","20.0","oldboy","water","Parents,Siblings","N/A","Sushi"
"600957","5","8.0","Week day dinner,Weekend lunch,Weekend dinner","12.0","the proposal","water","Friends","N/A","Sushi"
"713423","1","35.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","760.0","spirited away","tea","Parents","A little (mild)","Sushi"
"722431","2","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","1510.0","rurouni kenshin","sake or green tea","Parents,Siblings","N/A","Sushi"
"633234","5","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","10.0","oldboy","water","Siblings,Friends","A little (mild)","Sushi"
"148179","5","5.0","Week day dinner,Weekend dinner,At a party","30.0","N/A","tea","Parents,Friends","N/A","Sushi"
"715845","3","7.0","Week day dinner,Weekend dinner","17.0","spirited away","green tea","Friends,Strangers","N/A","Sushi"
"632153","2","3.0","Week day lunch,At a party,Late night snack","15.0","nemo","fish sauce","Siblings,Friends","A moderate amount (medium)","Sushi"
"606552","4","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","12.0","gone girl","water","Friends,Strangers","N/A","Sushi"
"738409","2","3.0","Week day dinner,Weekend dinner","15.0","my hero academia","milk","Parents","N/A","Sushi"
"612096","5","5.0","Weekend lunch,Weekend dinner,At a party","7.5","food wars","green tea","Friends,Strangers","A moderate amount (medium)","Sushi"
"743537","3","4.0","Week day dinner,Weekend dinner","3.0","your name","cold water","Parents,Siblings","N/A","Sushi"
"632896","3","6.0","Week day lunch,Weekend dinner,At a party","121.0","i think of the movie your name","i think sake pair with this food item","Parents,Siblings,Friends","A moderate amount (medium)","Sushi"
"605207","5","4.0","Week day dinner,Weekend dinner","10.0","bullet train","water","Siblings","N/A","Sushi"
"617542","2","23.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","127.0","isle of dogs","miso soup","Parents","N/A","Sushi"
"719554","5","1.0","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","N/A","miso soup","Parents,Strangers","N/A","Sushi"
"627427","3","2.0","Week day dinner,Weekend dinner,At a party","30.0","liz and the blue bird","green tea","Parents,Siblings","N/A","Sushi"
"411315","4","5.0","Week day dinner,Weekend dinner,At a party","9.0","spirited away","tea","Parents,Siblings","N/A","Sushi"
"631507","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","spirited away","water","Parents,Friends","N/A","Sushi"
"627798","5","4.0","Week day dinner,Weekend dinner","11.0","frozen","tea","Parents,Siblings","N/A","Sushi"
"712093","4","5.0","Week day dinner,Weekend dinner","15.0","seven samurai","water","Strangers","N/A","Sushi"
"627488","3","7.0","Week day dinner,Weekend lunch,Weekend dinner","15.0","barbie","water","Parents,Friends","A little (mild)","Sushi"
"626493","5","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","15.0","cars","water","Friends,Strangers","N/A","Sushi"
"601363","4","3.5","Week day dinner,Weekend dinner,At a party","17.0","the boy and the heron","a beer","Parents,Friends","A little (mild)","Sushi"
"712898","2","4.0","Week day dinner,Weekend lunch,Weekend dinner","20.0","howls moving castle","green tea","Parents,Friends","N/A","Sushi"
"603398","5","8.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","20.0","suits","i wouldnt pair a drink with sushiwater probably","Friends","A little (mild)","Sushi"
"631012","5","9.0","At a party","13.0","kung fu panda","water","Strangers","N/A","Sushi"
"601848","2","5.0","Week day lunch,Weekend lunch,Weekend dinner","13.0","john wick","green tea","Parents,Siblings,Friends","N/A","Sushi"
"612131","4","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","8.0","the wolverine","green tea  ocha","Parents,Siblings,Friends","A little (mild)","Sushi"
"408630","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","3.0","finding nemo","tea","Parents,Friends","N/A","Sushi"
"632091","3","5.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","10.0","no movie","tea","Parents,Friends","N/A","Sushi"
"601122","4","5.0","Week day dinner,Weekend lunch,Weekend dinner","7.0","the wolverine","sake","Friends,Teachers","N/A","Sushi"
"602871","3","3.0","Week day dinner,Weekend dinner","6.0","jiro dreams of sushi","miso soup","Siblings,Friends","N/A","Sushi"
"520828","4","3.0","Week day lunch,Week day dinner,Weekend dinner","12.0","isle of dogs","tea","Parents,Friends","N/A","Sushi"
"514199","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","12.0","N/A","tea","Parents,Friends","A little (mild)","Sushi"
"389697","1","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","15.0","ghibli movies","green teawater","Parents,Siblings,Friends","N/A","Sushi"
"714430","4","10.0","At a party","9.0","spiderman","orange juice","Strangers","N/A","Sushi"
"612567","3","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","5.0","your name","matcha","Friends","N/A","Sushi"
"744468","2","3.0","Week day lunch,Weekend dinner","2.0","bladerunner","water","Strangers","N/A","Sushi"
"502722","4","N/A","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","13.5","a silent voice","water","Friends","N/A","Sushi"
"519681","2","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","5.0","everything everywhere all at once","water","Parents,Friends","N/A","Sushi"
"631125","5","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","15.0","monsters inc","N/A","Strangers","N/A","Sushi"
"606119","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","1.0","isle of dogs","tea","Parents,Siblings","A little (mild)","Sushi"
"627252","5","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","15.0","monsters inc","water","Parents,Teachers","A little (mild)","Sushi"
"616568","4","2.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","3.0","jiro dreams of sushi","sake","Parents,Siblings,Friends","A little (mild)","Sushi"
"603838","5","8.0","Week day lunch,Week day dinner","20.0","jiro dreams of sush","green tea","Friends","N/A","Sushi"
"719735","5","N/A","Week day dinner,Weekend lunch,Weekend dinner","15.0","jiro dreams of sushi","hot or iced tea","Parents,Siblings,Friends","N/A","Sushi"
"608062","5","5.0","Week day dinner,Weekend dinner","15.0","parasite","water","Friends","N/A","Sushi"
"608704","5","5.0","Week day dinner,Weekend dinner,At a party","20.0","finding nemo","wine","Parents,Friends","N/A","Sushi"
"520383","3","N/A","Week day dinner,Weekend dinner","N/A","i dont think of a movie when thinking of this food item","sake","Parents,Friends","N/A","Sushi"
"603793","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","10.0","doraemon","ocha","Parents,Siblings","A little (mild)","Sushi"
"603933","3","7.5","Weekend dinner","80.0","jiro dreams of sushi","juice","Friends","N/A","Sushi"
"605519","4","4.0","Week day lunch,Weekend lunch,Weekend dinner","10.0","finding nemo","green tea","Strangers","A little (mild)","Sushi"
"524803","2","23.0","Weekend lunch,Weekend dinner","5.0","tokyo story","green tea","Strangers","N/A","Sushi"
"629712","3","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","20.0","parasite","water","Parents,Siblings,Friends","N/A","Sushi"
"627505","4","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","11.0","inception","water","Friends","A moderate amount (medium)","Sushi"
"526131","4","N/A","Week day dinner,Weekend dinner,Late night snack","N/A","i would associate it with movie series like pleasant goat and big big wolf as that was one of the childhood shows i watched from the time when we could sometimes go and eat out as a family","i would pair this item with water it is usually not dry or dehydrating so i dont usually drink much with it but water is more than enough","Parents,Siblings","N/A","Sushi"
"607065","4","4.0","Week day dinner,Weekend lunch,Weekend dinner,At a party","20.0","the karate kid","wine","Parents,Friends,Strangers","A little (mild)","Sushi"
"500077","4","20.0","At a party","13.0","none","water","Strangers","A moderate amount (medium)","Sushi"
"633350","2","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","12.0","your name","green tea","Siblings,Friends","N/A","Sushi"
"601945","4","5.0","Week day dinner,Weekend lunch,Weekend dinner","10.0","wolf of wall street","wine","Parents,Friends","A little (mild)","Sushi"
"629878","2","36.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","820.0","spirited away or any japanese movie in general","tea","Parents,Friends","A lot (hot)","Sushi"
"712766","3","4.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","11.5","wolverine","tea","Siblings,Friends","N/A","Sushi"
"603664","1","2.0","Week day dinner","9.0","jiro dreams of sushi","calpis","Parents","N/A","Sushi"
"840827","5","4.0","Weekend dinner","20.0","romance movie","water","Parents,Friends","N/A","Sushi"
"604897","4","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","35.0","food wars","tea","Parents,Siblings,Friends","N/A","Sushi"
"525422","3","4.0","Week day lunch,Weekend lunch,Weekend dinner,At a party","15.0","N/A","water","Parents,Siblings,Friends","A moderate amount (medium)","Sushi"
"602560","4","34.0","Weekend lunch,Weekend dinner","N/A","some japanese movie or some action movie","maybe some cocktail like gin martini","Parents","N/A","Sushi"
"738379","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","30.0","jiro dreams of sushi","green tea or water","Parents,Siblings,Friends","N/A","Sushi"
"622023","4","5.0","Week day dinner,Weekend dinner,At a party","20.0","wolf of wallstreet","coke zero","Friends","A moderate amount (medium)","Sushi"
"604770","2","4.0","Week day lunch","9.0","godzilla","no drink","Strangers","N/A","Sushi"
"608318","5","5.5","Week day dinner,Weekend lunch,Weekend dinner","10.0","johnny english","sake","Siblings,Friends","N/A","Sushi"
"626757","3","3.0","Weekend dinner","12.0","fast and furious tokyo drift","tea","Parents","N/A","Sushi"
